Dataset Name,Algorithm Name,Cross Validation,Hyperparameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
congressional-voting,VAT,9,"{'net__criterion__VAT_eps': 2.450508559639281, 'net__criterion__alpha': 1.0013243819267021, 'net__lr': 0.009565227983759916}",0.4418604651162791,0.8125,0.7777777777777778,0.5245098039215685,0.5717592592592593,0.586946917984072,17s,109375ms
congressional-voting,VAT,10,"{'net__criterion__VAT_eps': 2.224191445444843, 'net__criterion__alpha': 1.116933996874757, 'net__lr': 0.00944310597729478}",0.6046511627906976,0.1875,0.14814814814814814,0.5337301587301587,0.5729166666666667,0.5492912455093943,16s,62502ms
conn-bench-sonar-mines-rocks,VAT,1,"{'net__criterion__VAT_eps': 1.735123740095793, 'net__criterion__alpha': 0.9358649252656268, 'net__lr': 0.008930041214655154}",0.6666666666666666,0.4,0.09090909090909091,0.7125,0.618181818181818,0.6099846882518334,10s,736481ms
conn-bench-sonar-mines-rocks,VAT,2,"{'net__criterion__VAT_eps': 2.8389652274893473, 'net__criterion__alpha': 1.2142412995491114, 'net__lr': 0.009988585365021879}",0.7142857142857143,0.6,0.18181818181818182,0.7211538461538461,0.8090909090909091,0.8230511345659994,14s,1s
conn-bench-sonar-mines-rocks,VAT,3,"{'net__criterion__VAT_eps': 2.2879803984592746, 'net__criterion__alpha': 0.9238550485581797, 'net__lr': 0.006103292819866452}",0.8571428571428571,0.7,0.0,0.8928571428571428,0.9636363636363636,0.92658947417727,15s,46876ms
conn-bench-sonar-mines-rocks,VAT,4,"{'net__criterion__VAT_eps': 2.889337834099168, 'net__criterion__alpha': 1.0218483217500718, 'net__lr': 0.004205153205906184}",0.8095238095238095,0.7,0.09090909090909091,0.8221153846153846,0.8909090909090909,0.9132485828193251,11s,1s
conn-bench-sonar-mines-rocks,VAT,5,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.9523809523809523,0.9,0.0,0.9583333333333333,1.0,0.9977839620696767,10s,1s
conn-bench-sonar-mines-rocks,VAT,6,"{'net__criterion__VAT_eps': 1.735123740095793, 'net__criterion__alpha': 0.9358649252656268, 'net__lr': 0.008930041214655154}",0.7142857142857143,0.7,0.2727272727272727,0.7136363636363636,0.8545454545454545,0.8806722767362303,9s,774454ms
conn-bench-sonar-mines-rocks,VAT,7,"{'net__criterion__VAT_eps': 1.038386396618667, 'net__criterion__alpha': 0.8015748166745493, 'net__lr': 0.006635718021177583}",0.8571428571428571,0.9,0.18181818181818182,0.8590909090909091,0.9272727272727272,0.946274441676995,12s,1s
conn-bench-sonar-mines-rocks,VAT,8,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.9047619047619048,0.8888888888888888,0.08333333333333333,0.9027777777777777,0.9537037037037037,0.9659577373655168,23s,46874ms
conn-bench-sonar-mines-rocks,VAT,9,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.95,0.8888888888888888,0.0,0.9583333333333333,1.0,0.9927805308726363,20s,582590ms
conn-bench-sonar-mines-rocks,VAT,10,"{'net__criterion__VAT_eps': 1.735123740095793, 'net__criterion__alpha': 0.9358649252656268, 'net__lr': 0.008930041214655154}",0.85,0.7777777777777778,0.09090909090909091,0.8541666666666667,0.9797979797979798,0.9790280914737439,13s,31248ms
